Lake,Age,Asteraceae,Betulaceae,Boraginaceae,Brassicaceae,Bryaceae,Caprifoliaceae,Caryophyllaceae,Equisetaceae,Ericaceae,Fabaceae,Juncaceae,Orobanchaceae,Papaveraceae,Pinaceae,Plantaginaceae,Poaceae,Polygonaceae,Polytrichaceae,Primulaceae,Ranunculaceae,Rosaceae,Salicaceae,Saxifragaceae
Lele,9.3,13.3947842456305,0.0551759951964428,0.335924441343049,5.29527271547038,0.0373249379270054,0,1.45080410898882,0,0,0,0.0681585823014881,0.262897388877169,0.142808458155499,0,0,0.152545398484283,0.186624689635027,0.767595462585807,0,0.0519303484201814,73.6274971194885,0.0941237565115788,3.45336816994207
Lele,10.5,12.5767910546708,9.1044358343523,0.172365532786281,9.40644381914878,0.0471427098218889,0,3.42226609113275,0,0,0,0.156160226285007,0.553926840407195,0.0854461615521737,0,0,0.279909839567466,0.194463678015292,0.81173853474565,0,0.0427230807760869,53.1077358240398,0.0810265325063716,4.91315428924999
Lele,13.5,43.0873621713316,0.104774734321209,2.44474380082822,30.9334929900713,0.0548820036920621,0,3.95150426582847,0,0,0,0.17961383026493,0.134710372698698,2.09549468642419,0,0,1.03277952402335,0.0947961881953799,0.394152571970264,0,0.0997854612582947,6.04699895225266,0.134710372698698,7.86309434715362
Lele,14.4,19.572881527887,0.073553656123976,1.09569584295026,16.2350673396403,0.0481903264260532,0,1.27577548380551,0,0,0,0.114134983640652,0.213051969462551,1.11345017373881,0,0,0.793872219544982,0.142034646308367,0.332259619042788,0,0.0380449945468841,53.5952519846805,0.101453318791691,4.20777639688538
Lele,16.1,23.3931034482759,1.93103448275862,3.53103448275862,32.5793103448276,0.0275862068965517,0,4.02758620689655,0,0,0,0.220689655172414,0.110344827586207,2.15172413793103,0,0,3.2551724137931,0.16551724137931,0.358620689655172,0,0.110344827586207,10.7586206896552,0.110344827586207,7.2
Lele,18.5,3.88903636846297,0.345102203344837,1.03530661003451,54.4730554818158,0.106185293336873,0,8.08335545526944,0,0,0,0.106185293336873,0.119458455003982,3.92885585346429,0,0,2.15025219007168,0.1460047783382,0.650384921688346,0,0.0398194850013273,10.4459782320149,0.172551101672418,11.2423679320414
Lele,21.8,2.47344885410844,0.223588596981554,0.363331470095025,61.0676355505869,0.167691447736165,0,3.381777529346,0,0,0,0.0279485746226942,0.139742873113471,3.00447177193963,0,0,2.04024594745668,0.153717160424818,0.866405813303522,0,0.0838457238680827,14.169927333706,0.29346003353829,6.72163219675797
Lele,23,3.82917235289396,0.256883679858714,0.83487195954082,63.0729710203099,0.0481656899735089,0,3.77297904792486,0,0,0,0.0722485349602633,0.0883037649514329,4.98514891225817,0,0,1.49313638917878,0.104358994942603,0.569960664686522,0,0.0722485349602633,11.4313237537128,0.0561933049690937,7.64228947579674
Lele,24.7,6.50094161958569,0.24105461393597,0.595103578154426,43.638418079096,0.0903954802259887,0,3.62335216572505,0,0,0,0.0828625235404896,0.0753295668549906,3.02071563088512,0,0,1.88323917137476,0.225988700564972,0.858757062146893,0,0.0753295668549906,15.1261770244821,0.256120527306968,21.7250470809793
Lele,28.5,16.5857717376231,0.0554708084870337,1.34516710581057,40.3480793232561,0.0832062127305506,0,3.82748578560533,0,0,0,0.17334627652198,0.0693385106087921,2.98848980723894,0,0,1.0678130633754,0.138677021217584,1.22729163777562,0,0.124809319095826,15.9131881847178,0.228817085009014,14.4016086534461
Lele,30,18.7986715529088,0.131699496106276,1.04786990380211,39.5613834173156,0.0286303252404947,0,3.71621621621622,0,0,0,0.154603756298672,0.0744388456252863,2.07856161245992,0,0,0.881814017407238,0.10879523591388,1.1051305542831,0,0.125973431058177,17.069399908383,0.166055886394869,13.7024736601008
Lele,34.2,22.0326590299781,0.0649930944837111,0.853034365098708,29.8318303680234,0.0243724104313917,0,2.20164107563571,0,0,0,0.129986188967422,0.0649930944837111,1.48671703631489,0,0,0.5849378503534,0.0974896417255667,0.974896417255667,0,0.0893655049151028,28.6457063936957,0.243724104313917,11.9181087009505
Lele,38,13.5236266101527,0.0596046226696248,1.10268551938806,21.5801847743303,0.0198682075565416,0,3.45706811483824,0,0,0,0.0662273585218054,0.463591509652638,0.794728302261664,0,0,0.354316368091659,0.0894069340044372,0.811285141892116,0,0.0960296698566178,49.4188549289712,0.205304811417597,7.27838670154641
Lele,39.5,18.6258557701164,0.150431338838916,1.16354035550916,22.2853283394222,0.0276302459091886,0,2.03849814263347,0,0,0,0.0890307923740521,0.174991557424861,1.00696896202376,0,0,0.389893470051883,0.0890307923740521,0.927148251619439,0,0.0859607650508089,45.3443035643017,0.233322076566481,6.5698584717404
