species,bacdive_url,isolation_categories,pH_optimum,aquatic_samples,soil_samples,animal_samples,plant_samples,Total_Samples,total_n,r_terr,r_aqua,r_anim,r_plant,tas_score_raw,habitat_label,tas_score
Nitrosopumilus adriaticus,https://bacdive.dsmz.de/strain/157948,"#Environmental, #Terrestrial, #Coast, #Environmental, #Aquatic, #Surface water",7.1,60,2,NA,NA,NA,62,0.03225806451612903,0.967741935483871,0,0,-0.935483870032258,Aquatic Specialist,-0.935483870032258
Methanolobus psychrotolerans,https://bacdive.dsmz.de/strain/158352,"#Environmental, #Aquatic, #Lake (large), #Environmental, #Aquatic, #Sediment, #Condition, #Saline",7,8,1,NA,4,NA,13,0.07692307692307693,0.6153846153846154,0,0.3076923076923077,-0.7777777766543211,Terrestrial Specialist,-0.7777777766543211
Methanoculleus thermophilus,https://bacdive.dsmz.de/strain/7022,"#Engineered, #Industrial, #Plant (Factory), #Engineered, #Waste, #Industrial wastewater, #Environmental, #Aquatic, #River (Creek)",NA,29,11,NA,8,NA,48,0.22916666666666663,0.6041666666666666,0,0.16666666666666666,-0.4499999994600001,Terrestrial Specialist,-0.4499999994600001
Halonotius pteroides,https://bacdive.dsmz.de/strain/5975,"#Environmental, #Aquatic, #Pond (small), #Condition, #Saline",7,29,4,NA,NA,NA,33,0.12121212121212122,0.8787878787878788,0,0,-0.7575757568181818,Generalist / Mixed,-0.7575757568181818
Natrarchaeobaculum aegyptiacum,https://bacdive.dsmz.de/strain/132586,"#Environmental, #Terrestrial, #Sediment, #Environmental, #Aquatic, #Sediment",9,18,1,NA,NA,NA,19,0.05263157894736842,0.9473684210526316,0,0,-0.8947368412105261,Aquatic Specialist,-0.8947368412105261
Halohasta litorea,https://bacdive.dsmz.de/strain/161994,NA,NA,175,30,NA,NA,NA,205,0.14634146341463414,0.8536585365853658,0,0,-0.7073170724634146,Generalist / Mixed,-0.7073170724634146
Cuniculiplasma divulgatum,https://bacdive.dsmz.de/strain/141129,"#Condition, #Acidic, #Engineered, #Other, #Mine, #Environmental, #Microbial community, #Environmental, #Terrestrial, #Geologic",1,135,5,2,NA,NA,142,0.0352112676056338,0.9507042253521126,0.01408450704225352,0,-0.928571427629592,Aquatic Specialist,-0.928571427629592
Methanolobus sp.,https://bacdive.dsmz.de/strain/140020,"#Environmental, #Terrestrial, #Sediment",NA,32,3,2,NA,NA,37,0.08108108108108109,0.8648648648648649,0.05405405405405406,0,-0.8285714276955102,Aquatic Specialist,-0.8285714276955102
Halorubrum lipolyticum,https://bacdive.dsmz.de/strain/5951,"#Environmental, #Aquatic, #Lake (large), #Environmental, #Aquatic, #Sediment, #Condition, #Saline",7.5,18,3,NA,NA,NA,21,0.14285714285714285,0.8571428571428571,0,0,-0.7142857135714284,Generalist / Mixed,-0.7142857135714284
Methanocalculus alkaliphilus,https://bacdive.dsmz.de/strain/131457,"#Environmental, #Aquatic, #Lake (large), #Environmental, #Aquatic, #Sediment, #Condition, #Anoxic (anaerobic), #Condition, #Saline",NA,28,NA,NA,NA,NA,28,0,1,0,0,-0.999999999,Aquatic Specialist,-0.999999999
